ID,PID,Text
0,0_0,"""1 - Ability to learn new technology quickly 2 - Creativity!!!"
0,0_1,"3 - Dependable and ability to work independently Leadership, pleasant personality/warmth, and confidence in her work. ""
"
1,1_0,"""1) Daniel clearly has skills and knowledge that are well above average, with a strong work commitment, and self sufficiency, so he should take more leadership to encourage and share knowledge with other interns."
1,1_1,"He's only been here 3 months, but appears to be someone who could be an excellent leader among the other students."
1,1_2,Develop that skill and help to bring others along.
1,1_3,2)
1,1_4,"Document work done, things tried, what failed, what worked, what the results were."
1,1_5,1) Seek out projects on his own2) Communicate better when calling out3)
1,1_6,"After trying on his own, it's ok to ask for help""
"
2,2_0,"2nd year working for me and helped teach others
"
3,3_0,"""A function of experience, I see her """"growing her voice"""" in a collaborative setting - gaining confidence in trying new ideas and expressing her thoughts and opinions.""
"
4,4_0,"Aaron did not have many opportunities to demonstrate this.
"
5,5_0,Abby did not have the opportunity to demonstrate her leadership in our work.
5,5_1,"I'd like her to challenge herself to look for opportunities to gain practical experience in this realm.
"
6,6_0,Abby is incredibly well-rounded.
6,6_1,"Leadership is not a skill this internship afforded her an opportunity to practice.
"
7,7_0,"""Abby joined the project as a UPIC intern after having participated one semester in the associated Creative Inquiry course."
7,7_1,"Without a parallel CI course this semester, she did not have the same opportunity to develop the leadership skills of managing an interdisciplinary team herself.""
"
8,8_0,"""Actually, it is very hard for me to say just a one quality - Meredith is an excellent student on all those qualities.""
"
9,9_0,"Adele is still trying to figure out what she wants to do.
"
10,10_0,"Adrian could benefit from more opportunities to learn how to apply his strengths to lead others.
"
11,11_0,"Ajinkya can take an active role and be a self-starter in projects which will help him develop as a leader.
"
12,12_0,"Alex could use additional opportunity leading projects to gain this type of experience.
"
13,13_0,"""Alex is smart and would be a good leader."
13,13_1,"I believe he's an introvert who has a lot to say once you get him started, but you have to get him talking.""
"
14,14_0,"""Alex prefers to work alone, so leading a team and delegating tasks is something he'll continue to grow in.""
"
15,15_0,Alexis was able to work well with her group of mentees that were from a wide range of backgrounds.
15,15_1,"She recognized the individual strengths that each of her mentees had and was able to use this to advance the group as a whole.
"
16,16_0,"""Allison has grown in leaps and bounds in confidence through working at the Studio."
16,16_1,"She is great at working with patrons to figure out their needs, and maintains a positive attitude throughout, both of which I consider essential aspects of leadership.""
"
17,17_0,"Ally could build upon her communication skills and translate this into furthering her leadership skills to capitalize upon the strengths of each of her mentees or fellow mentors.
"
18,18_0,"Ally did not embrace opportunities to lead (although was always a valuable team member).
"
19,19_0,"""Although Kasey wasn't put in a position to lead, her passive and quiet at times persona could be a risk.""
"
20,20_0,"""Although not an issue, more workplace experience would help with this.""
"
21,21_0,"""Although Owens leadership skills are good, he does not always delegate as much as he could."
21,21_1,"This is something we will be working on next semester.""
"
22,22_0,"""Although the opportunity was not available often during this internship, Nithinkumar could use more growth in running projects."
22,22_1,"I have this planned for him before the internship ends.""
"
23,23_0,"""Although the opportunity was not available often during this internship, Raj could use more growth in running projects."
23,23_1,"I have this planned for him before the internship ends.""
"
24,24_0,"""Although there isnt a strong """"need"""" for improvement, Gouri strikes me as someone who has an innate leadership ability and I think with good grooming she could becomae a great leader.""
"
25,25_0,Alyse has incredible leadership potential and I believe has the components to be a leader in her sphere of influence - she has a quiet demeanor
25,25_1,"and I think it will take time for her to see that potential and capitalize on it.
"
26,26_0,"""Alyse is a silent, incredible leader - but she is quiet."
26,26_1,"I think if she were more extroverted and spoke up more, she would excel in leadership."
26,26_2,"She has all of the qualities of a great leader - I think giving her the ability to exercise that would be an opportunity of great improvement.""
"
27,27_0,"""Alyse is a very quiet young lady."
27,27_1,"She was an amazing asset to our team, but I would love to see her excel in leadership."
27,27_2,"She is so quick with thought and ideas, that she could potentially lead a team or group very well.""
"
28,28_0,"""Amy has been great with us, however she has only been working in our location for a few months."
28,28_1,"Many of her peers have years of experience doing what they do, so it can be tough for an intern to step in and become a leader among them."
28,28_2,"Amy has all the tools and abilities to do so, however there was definitely room for growth in this area.""
"
29,29_0,"Andrew has show growth potential in leadership
"
30,30_0,"Andrew should utilize colleagues to generate ideas on how to further his project.
"
31,31_0,"""Andrew worked almost exclusively with me, so he didn't have many opportunities to leverage the strengths of other team members.""
"
32,32_0,"Armoni is so used to having to rely only on herself to accomplish her goals that she sometimes has an expectation that others will fail to follow through.
"
33,33_0,"""As a single co-op in our lab, William did not have much of an opportunity to demonstrate his leadership potential."
33,33_1,His skills in this category may be excellent
33,33_2,"but he did not have a chance to demonstrate that.""
"
34,34_0,"""As a student intern, I think there is always room to grow with respect to leadership and ownership."
34,34_1,"Chandler is so awesome in every area, it is hard to pick an area for improvement."
34,34_2,"However, there are a couple of projects for next semester that I am going to let her take the lead on and look forward to seeing even greater growth in this area.""
"
35,35_0,"""As an intern and young in the professional career, I wouldn't expect leadership to be a strength."
35,35_1,"I believe with time and experience the leadership skills will come.""
"
36,36_0,"""As an intern, you are not frequently in a leadership position."
36,36_1,"There was not ample opportunity to demonstrate this trait.""
"
37,37_0,"""As chief editor it has been Stone's responsibility to lead group meetings, manage the teams' writing schedule and assign articles but he taken a backseat to other personalities in the group and relied on me for these.""
"
38,38_0,"""As Harshit progresses in his career, Leadership and team-building will be required to grow other team members and accelerate his personal growth."
38,38_1,"Harshit has not been in a position to demonstrate significant leadership during this term, but I'm confident he will contribute in those ways when given the opportunity.""
"
39,39_0,"""As mentioned above, Abele has not been in a position of leadership or managing a team."
39,39_1,"From her experience level and history, I would think that this is an area where she needs more exposure and thus training."
39,39_2,"In regard to the other fields, Abele is either competent or above average for her age and experience.""
"
40,40_0,"""As previously mentioned Alton has shown great leadership within the Makerspace."
40,40_1,"Additionally, I think he has the ability to become a great leader withing the Makerspace team.""
"
41,41_0,"""As she grows and matures, her skill in this area will undoubtedly increase because of how she carries herself and willingness to learn.""
"
