ID,PID,Text
670,670_0,"""I worked a couple of tabling events in which I answered prospective families' questions about Parking and Transportation Services at Clemson."
1072,1072_2,"and he knows how to designate a job for all of us.
"
776,776_0,Leadership wasn't needed.
1151,1151_0,"""Through this experience, I was able to serve as a leader to these students by connecting them to other organizations which I felt that would get them the best connected to Clemson."
541,541_1,"I also led my student organization on projects and recruitment tasks.
"
996,996_0,"Participated in discussions regarding the marketing strategies that the Bulls Sox Academy could use.
"
652,652_1,I had to test many possibilities and create standard operating protocol documents for this candidate.
945,945_2,"This is because he respects others opinions and values that their ideas may have a fresh and beneficial outlook on the problem at hand.""
"
898,898_1,"We would all offer different ideas from each other.""
"
656,656_2,I then had to combine my findings and pitch to my bosses why we should purchase a golf cart and which option to go with.
307,307_1,He would set a few workers in groups together and would write down the job to be done.
148,148_0,"""Being put in charge of the Clemson Light Imaging Facility gave me a basic understanding of Leadership, this allowed me to understand the requirements and needs to be in charge of a task and a project.""
"
734,734_1,"Now that finals are approaching I created an excel sheet so that they can see what they need to do in order to reach that goal or if the goal can even be met.
"
581,581_0,I saw Dr. Hannon take 15 students from all backgrounds and mold us into a collective unit.
951,951_1,"I always took into account that her views were very different from mine, and rather than view that as a weakness or attempt to change her opinions, I'd try to get her unique opinion to help move the design process forward."
1136,1136_4,"This requires a lot of leadership on my part in order to make sure all of our positions are working together effectively and aware of what the immediate and overarching goals are.
"
1132,1132_1,"This was a great way for me to step into a leadership role.
"
884,884_3,"Tim then took note of this and applied it to other buildings on campus when the same kind of monitor would be installed.""
"
945,945_0,"""One of the main leaders that I work with is named Erich."
288,288_0,"""During the same situation above, I was tasked as the leader for this group and had to make sure my team stayed motivated for the project."
1315,1315_2,"It was then my job to present this final product to all of the stakeholders including both department heads, my advisors, and my team.""
"
327,327_3,"In the end I believe we reached some actionable conclusions and presented them to the rest of the department. ""
"
709,709_1,They were scared the new area would only be attractive to men and no women would use it.
445,445_2,"I noticed another intern, Tom Birdsong, taking responsibility and leadership over the creation and initiation of the CCIT Immersive Space."
