ID,PID,Text
0,0_0,"""During one of our weekly fraud training meetings, the fraud prevention manager encouraged all the employees to continue to work hard to prevent passport fraud. ""
"
1,1_0,"""(this is repeated from before, but also with the stipulation that throughout this whole process I performed the basic-level shifts to show how they *should* be done, providing an example to strive towards)."
1,1_1,"When I started up as CPT, a bunch of SPOs were, basically, awful- sleeping in cars, not scanning all buildings, not meeting scan times, going inside, ect."
1,1_2,"This was at first due to lack of viewable scans (when we were transitioning between systems), but it continued afterwards once the norm of """"slacking"""" was established."
1,1_3,"Changing that was difficult and took many tough conversations and arm-twisting (both for SGTs and LTs to watch for this, as well as with the offending SPOs)."
1,1_4,"With our low numbers now and lack of scan checks with the move and issues for the past month beforehand, there was a danger that this slack-ness would return."
1,1_5,"I am happy to say it has not, which I think is attributable to a new norm of *quality* to the shifts done, even if we are low on SPOs. ""
"
2,2_0,A bottleneck was formed just before the second design review which I solved by taking initiative to talk to the different people involved and trying to understand the different points of view.
2,2_1,"I further communicated this to the sponsors in the review.
"
3,3_0,"""A couple of the other undergraduates working in the lab"
3,3_1,and I often discussed what projects we were working which allowed us to share our questions and ideas with each other.
3,3_2,At one point all of us were running PCR and gels at the same time.
3,3_3,We each encountered different obstacles but continued to discuss what problems we faced.
3,3_4,"By reaching out to another undergraduate, we found we both encountered the same problem in our gels."
3,3_5,"By simply changing the liquid the gels were placed in we were able to solve our problem.""
"
4,4_0,"A couple of the projects I was able to propose a different idea and input different opinion for the ability to put out better work and better quality. 
"
5,5_0,"""A couple weeks ago I accepted an internship in Simpsonville for this coming fall."
5,5_1,I had previously committed to continuing my part time UPIC internship during my full time internship in the fall.
5,5_2,"But since I will be commuting two hours a day I felt that I wouldn't have adequate time to put towards my work with Michael, which I didn't want to happen."
5,5_3,So during one of our meetings I had to bring this issue up
5,5_4,and we talked about what was best for me and for the office.
5,5_5,"We both agreed that it was best I didn't continue in the fall, as they need and deserve someone who can put the time into the work."
5,5_6,It was a difficult conversation to have since I had already committed to him and had to go back on my word.
5,5_7,But I told him as soon as I got the offer and I wanted to make things as right as possible.
5,5_8,He told me he respected that I had the guts to tell him that I didn't think I could handle both jobs and wanted to talk to him about it in person.
5,5_9,"I really appreciated him saying that because it was nerve wracking to have the conversation with him because I didn't want him to be disappointed. ""
"
6,6_0,"""A design lead, I had the most knowledge and experience working with Adobe software."
6,6_1,"Because of this, I had to encourage my teammates to be vocal about their ideas while also teaching them about the possibilities of graphic design and the guidelines for an aesthetically-pleasing layout.""
"
7,7_0,"A fellow worker helped lead a census.
"
8,8_0,A few other interns and I worked on a data report.
8,8_1,"I was able to lead the report and present it to my mentor for feedback. 
"
9,9_0,"""A few sessions into the summer, I asked to take over an information session the abroad office hosted."
9,9_1,"I presented a slideshow to many parents and students, engaging them in the goals of our office and sparking interest in different abroad programs."
9,9_2,"We worked with many different majors and educational goals, aligning several different types of students with the goal of studying abroad.""
"
10,10_0,"""A good example of leadership would be the agents in my office planning for the fair."
10,10_1,We all sat down and came up with what each agent wanted to do at the fair.
10,10_2,We had a group discussion about what each person thought they could do to help the other with their idea and delegated tasks that we could do to help each other.
10,10_3,"We could have just all done something on our own but instead we all helped each other with the planning, preparing, and running of each others activity for the fair."
10,10_4,Everyone helped each other and used their strengths to assist the others.
10,10_5,"It was a great example of how much better events can be when people contributed their strengths to achieve an overall goal. ""
"
11,11_0,"""A large component of my internship involves empowering the girls in the program to love themselves and lead healthy, active lifestyles."
11,11_1,"At the beginning of each after-school meeting, the girls have a journal prompt that asks them to reflect on the previous lesson we discussed and then allowing them to share their thoughts."
11,11_2,I believe this was an incredible way to me to analyze progress and present future topics that needed to be implemented again.
11,11_3,"From their journal reflections, I felt that I watched the girls grow more confident in themselves."
11,11_4,Middle school girls commonly never discuss with friends or family some of the sensitive topics we go over.
11,11_5,"By sharing their thoughts, they were able to connect with each other and feel united by their feelings. ""
"
12,12_0,"A lot of people come to my boss for advise and i picked up very good lessons from it
"
13,13_0,A lot of the time I liked to encourage the graphics team to continue to be creative and come up with brand new ideas and original graphics on behalf of the recruits we were targeting.
13,13_1,"We always were able to collaborate together as a team to create the best graphics for the recruits and football program. 
"
14,14_0,A lot of times in the lab we are presented with a problem that may not have a simple solution because we do different things everyday.
14,14_1,I am the longest returning student worker in the lab
14,14_2,and I am sort of the liaison between management and the new people
14,14_3,"so I usually lead the new employees.
"
15,15_0,"""A main aspect of planning Speak Out was reaching out to community partners such as Safe Harbor, Foothills Alliance, and Pickens County Advocacy Center and requesting their involvement and resources in the event."
15,15_1,"Reaching out to organizations that we had never utilized personally seemed daunting at first, and required us to really understand each organization's goal and values."
15,15_2,"Then, we had to modify our approach to communicating with them in regards to the event in explaining why their presence and support at this event would be of great value to the Clemson community."
15,15_3,"This meant explaining the underlying values of our Speak Out event and what we hoped to accomplishment, and how their involvement would be critical to not only our success as a CAPS practice, but the overall benefit of awareness that it would bring to the community regarding issues we are all passionate about. ""
"
16,16_0,A main project for the compliance department is to debate and interpret NCAA bylaws for the rest of the athletic department.
16,16_1,"I was frequently called upon to ask questions and offer opinions in these types of situations. 
"
17,17_0,"""A major objective of the company is to keep costs low, and reduce data clutter."
17,17_1,"Thus, keeping the same suppliers and avoiding unnecessarily adding new parts/vendors to the internal system is encouraged."
17,17_2,"One of my tasks was to size up and choose components from several manufacturers for the needs of our projects while adhering to these company goals""
"
18,18_0,"""A major part of my internship required me to organize material and set-up meetings and discussions with our core team."
18,18_1,"During one of recent meetings, I served as the lead facilitator and engaged our team in discussions about expanding the nursing program and coordinating our course for next semester."
18,18_2,Leading a meeting with senior professors in the nursing program was a unique and rewarding experience.
18,18_3,"I was able to showcase my organization and leadership skills. ""
"
19,19_0,"""A major part of my internship required me to organize material and set-up meetings and discussions with our core team."
19,19_1,"During one of recent meetings, I served as the lead facilitator and engaged our team in discussions about expanding the nursing program and coordinating our course for next semester."
19,19_2,Leading a meeting with senior professors in the nursing program was a unique and rewarding experience.
19,19_3,I was able to showcase my organization and leadership skills.
19,19_4,"Since this is my third rotation as a UPIC intern, I have now taken on more of a mentor role."
19,19_5,This semester I have taught the newer UPIC interns the roles that I once had in this position.
19,19_6,"I helped them find their strengths and interests in order to build a stronger overall team. ""
"
20,20_0,A majority of the work we did was teamed based.
20,20_1,"It took multiple people working together to set up for 200+ people events. 
"
21,21_0,"""A minor defect was found in one of the components of a turbo, since it was not so important so everyone was ignoring it."
21,21_1,But I saw this one manager who stood up and started working on it.
21,21_2,He organised meetings with all senior management team and he made the issue look a major one.
21,21_3,"This was a very good example of leadership set up by him.""
"
22,22_0,"""A new production line was being started for a valued customer at the production facility."
22,22_1,I was trained to implement time studies as well as work instructions for the new line.
22,22_2,"My supervisor, made me and a team of people work on it on the same."
22,22_3,"Various decisions ranging from material planning, number of parts produced, scrap information as well as time taken to produce a single part were made by my supervisor along with a team of colleagues."
22,22_4,It was a good experience for me.
22,22_5,I also attended scrap meetings which took place with the COO of the plant.
22,22_6,"Scrap evaluation was done in those meetings. ""
"
23,23_0,A part of my supervisors job involves social media.
23,23_1,"I was able to bounce idea back and forth with her and another coworker about how to improve the content being put up on social media. 
"
24,24_0,"""A section of student patrol involves the locking of academic buildings on a schedule every night."
24,24_1,"In the recent months, training new people was becoming difficult because many of our trainers would take different paths which confused the trainee."
24,24_2,"I needed a standard way to train everyone so that it would be easier for the trainee's to remember, and therefore pass their certifications."
24,24_3,My co-captain
24,24_4,"and I asked our lieutenants to think of a way of standardizing it, after multiple ideas being tossed around"
24,24_5,"we landed on letting the Buildings Lieutenant video her route and post it to our collective google drive so that we could have standards set. ""
"
25,25_0,"""A significant part of my position was to act as the President Business Ambassador."
25,25_1,I brought together 16 student volunteers to aid with multiple events on-campus.
25,25_2,"We were successful in completing these events in a professional, efficient way."
25,25_3,"Together, we were able to provide incoming students with the knowledge and confidence they will need to be successful at Clemson. ""
"
26,26_0,A specific example is one of the interns asked about how it can encode and decode structures into a JSON object.
26,26_1,When this happens I went over to the white board and we led a discussion where I drew and he was talking to walk himself through as I drew it out in order to make sure understanding was clear.
26,26_2,"I feel that this was an effective way to lead the group and teach some knew things. 
"
27,27_0,A startup idea suggested had the potential to be modeled as a social entrepreneurial venture.
27,27_1,"This simple idea steamed to a valuable idea in which the underprivileged community members of large metropolitan cities may reap the benefit of the successful execution of the business.
"
28,28_0,"""A supervisor I worked with on a legal project would often give me tasks to complete to help publish current data on Council of Europe related matters."
28,28_1,"One of the things she knew I was competent in was law, because of my past experiences and internships in law enforcement and private law firms."
28,28_2,"As a result, I was assigned to read legal case summaries and reports and summarize them because she knew I was competent in that area. ""
"
29,29_0,"""A time during my internship when I encouraged discussion among my peers to achieve a common goal is when I was given the task to post a social media promotion for the pool closing down for a couple weeks because of maintenance."
29,29_1,"Due to the sensitivity of this situation, we were each able to give our input concerning what the promotion should say, as well as how it should be said."
29,29_2,"In the end, we were all able to come up with a successful solution that informed Campus Recreation's followers about the situation without raising any issues or questions.""
"
30,30_0,"""A time during my internship when I encouraged discussion where individuals could express different points of view was when meeting with the HRLT (HR Leadership Team) to review the design of my """"Meet the HRLT"""" booklet."
30,30_1,"I have learned in Graphic Communications that you cannot marry yourself to any design or idea, as clients will always have their own ideas and suggestions, as well."
30,30_2,It is important to remain open-minded and listen to the opinions and ideas of others.
30,30_3,"Through discussion with the HRLT, we developed a shared vision on how to rearrange some information on pages, and how to re-word some verbage to have the best possible end result. ""
"
31,31_0,A time I empowered others to achieve a shared vision is when I helped create a new bus route for the next school year.
31,31_1,I needed to discuss the reasons for why each stop was so important as well as the reason for why the bus was going the direction it was.
31,31_2,"I had to present this to a leading member of Parking and Transportation Services and explain to them in a way that made sense to someone who did not have a student's prospective so they could see my point of view.
"
32,32_0,A time that I helped employees express different opinions was when I went to a meeting with Reagan where we met with the new Communications Director at Sikes hall and talked about her goals for the future and Reagan and I had different ideas as to what should be done and we all worked together to express them in a productive way.
32,32_1,"I even helped lead the conversation when talking about the marketing strategy.
"
33,33_0,A time when I noticed a coworker who capitalized on the strengths of each individual was during a monthly meeting to discuss the progress of the research study.
33,33_1,She methodically addressed each person on the research team to confirm that he or she was following through on job duties.
33,33_2,She encouraged each person to focus on her strengths.
33,33_3,Any weaknesses or challenges that a person faced were shared among group and suggestions were offered.
33,33_4,"Her leadership skills allowed for a meaningful meeting and for each member of the team to have a clear vision of upcoming tasks. 
"
34,34_0,"""A time where I served as a conduit to assist my group was during one of our round-table edit sessions where each of the writers in the group looked over each other's work."
34,34_1,"I echoed the interests of my supervisors, representing the broader organizational objectives of Creative Inquiry, in making suggestions to other writers on how better to improve their papers, based on our writing model."
34,34_2,"I did so through electronic comments on Microsoft Word, which I reiterated to my fellow writers to follow.""
"
35,35_0,"""Acted as an undergraduate teaching assistant to lead the classroom in discussion of new technologies in society, specifically in the health industry.""
"
36,36_0,"""After attending events, we had to gather together and tell our thoughts before the write up."
36,36_1,"I would synthesize these views and make sure everyone's voice was heard.""
"
37,37_0,"""After discussing how to lead workshops with my fellow interns, I shared the idea we came up with to go about them in a different, yet more effective, way. ""
"
38,38_0,"""After losing the first mentor, both Wilson and I had to step up and assume positions of leadership."
