"Labeled Data","Final Label","Dataset Name"
"We found the best way to organize the plots using measurements and input from all three of us.
","NA","Student"
"Working with Watt Center and other entities on campus to showcase VR
","NA","Student"
"Working with the career palm tree, I led group discussions in person and through email to ensure that everyone had a say in what the project looked like and everyone liked the final product.
","TF","Student"
"Working with other college students, I got an idea of their strengths and weaknesses and when I was put with those coworkers we would reassign our roles and duties based on each other's strengths. 
","STC","Student"
"I motivated her to reach out to the University to get it published in the Echo and because of our joint efforts we accomplished it! 
","TF","Student"
"Working with my mentor I constantly would go back and forth with her collaborating on a variety of things.","NA","Student"
"This project expanded my knowledge of graphic design, a skill that I had not yet developed greatly outside of the classroom. 
","NA","Student"
"Working with Matt to develop the social media templates was an enlightening task.","NA","Student"
"I directed social media for Campus Banner and Student Affairs for their Instagram and twitter posts. 
","NA","Student"
"Everyone had their place in the organization. 
","TC","Student"
"Captains knew who to call on if they had problems finding keys to buildings while we did building walk throughs and who to call on when they needed some additional strength.","NA","Student"
"Though both people in my office are full time employees, they created a space where I was comfortable to encourage discussion on my own and express my points of view that were able to change mindsets at times. 
","TF","Student"
"Theresa on the first day to make sure everything worked smoothly. 
","NA","Student"
"Kinda seemed like a high school situation. 
","NA","Student"
"Working at a small company led to a problem in the middle of the internship where employee morale was very low towards both the company and the owners because of how things were being run.","NA","Student"
"This is one of my leadership characteristic in my work.
","NA","Student"
"Worked with WISE as outreach chair to help put together outreach days.
","NA","Student"
"Worked on various projects where I have discussed with my mentor about our different views and help the project to finish on time with final view where every one is happy.
","STC","Student"
"We gave useful criticism and feedback so that they could develop their potential businesses.
","TC","Student"
"We had sessions where we allowed students with ideas to come in and share it with the interns.","NA","Student"
"He capitalizes on their technical skills by recognizing and respecting their knowledge of AV and IT.
","NA","Student"
"Within the IT department, Mark did a great job on using the strengths of Ty and Caleb to help the building run smoothly.","STC","Student"
"My co-worker and I are in two of the most popular concentrations, Pre-Vet and Animal Agribusiness, and our supervisor really leaned on this a lot because we were both able to greatly help students who were leaning one way or another.","NA","Student"
"Within our Animal and Veterinary Science major encompasses three concentrations.","NA","Student"
"They would collaborate on my goals for the semester and evaluating the work I did.","IDK","Student"
"Within my internship I noticed a collaboration between my supervisor (Haley) and the Fike building coordinator (Jimmy).","NA","Student"
"I noticed how one intern was in charge of learning and contributing to iOS work, which was lighter, and two of us contributed to backend work, which was of more pressing need.","NA","Student"
"With new SECs coming on board, I have used my experience this semester to train and correctly show them how to work with clients and get the approvals needed.
","IDK","Student"
"Helping me select some of the better ones or to get rid of a few.
","NA","Student"
"They saw this opportunity as a promotional opportunity, and I wanted to help them get the promotion they wanted.
","TF","Student"
"Since I am not a native speaker I was not confident about my voice being part of the video.","NA","Student"
"At these meetings I watched one of my bosses, Robbie Fitzwater, organize different interns into teams to accomplish goals most effectively.","STC","Student"
"During this event, we facilitated group work and encouraged perseverance when they failed during the challenge. 
","NA","Student"
"While working with the Emerging Scholars group, we worked to primarily encourage the high school students to better their community and make change.","TF","Student"
"While working with my cofounder we build a business plan together and build a professional relationship together which helped us when presenting to our mentor as well as outside business professionals.
","NA","Student"
"This usually led them to agreeing on a specific procedure.
","NA","Student"
"To do this I gathered all of them together and asked them questions about everything.","NA","Student"
"Because I was creating a training video for all new employees, I wanted to be sure this would be put together using all of the operators ideas and opinions.","NA","Student"
"I have seen officers talk to certain people and just see something finally click in their head that they no longer want to be in that cycle. 
","IDK","Student"
"It is very sad to see a potentially successful person being stuck in a cycle of drugs and crime because they feel as though they can't get better.","NA","Student"
"While working on the road we have to deal with a lot of domestic violence and drug issues.","NA","Student"
"While working on my project my nursery manager came around and told me how good of a job I was doing with the plants because I would go and probe each plant before watering to make sure that it was dry enough to water. 
","NA","Student"
"To initiate a conversation and highlight all the different outcomes and parameters, I requested a meeting for the Pneumatics group and listed a number of questions to be asked.","IDK","Student"
"So me and my mentor took the initiative and set a timeline and started working on the problems one by one with the workers.","STC","Student"
"so we did plenty of the field work. 
","NA","Student"
"I received input from others and together, after finalizing the forms, we presented it to our site mentor, who supported the project.
","IDK","Student"
"We all had our own ideas in our head but none of them were the same.","NA","Student"
"While storyboarding for another Tasty style video, Miranda, Ely, and I all collaborated on how we wanted the video to look.","NA","Student"
"The ideas were not always used, but it helped create an environment where we would openly discuss our ideas.","NA","Student"
"During the event, I would propose ideas to other interns or supervisors.","STC","Student"
"Our office group is very diverse and everyone had different input.
","NA","Student"
"While preparing activities for our manager meetings (hosted monthly), I reached out to the other interns in my office and ask their opinions on activity ideas and training ideas.","NA","Student"
"While planning the spring break trip, we used lots of leadership skills to create an itinerary for the days in Haiti
","NA","Student"
"While partnering with MBSA, ensuring that their mission and goals with a specific event matched that of the Student Enrichment Office as well. 
","NA","Student"
"Instead of not recording some pieces of equipment I voiced that if the total inefficiencies would likely add up to a significant cost.","IDK","Student"
"While on an audit, I was tasked with looking at process equipment.","NA","Student"
"The video ended up turning out so great","NA","Student"
"One being me, another being another intern, and the third being the writing center's intern.","NA","Student"
"The rancher in charge of the castration process recognized that the students he was working with did not all feel as comfortable as himself in assisting, and so he delegated tasks to each of the students according to their comfort levels.","TC","Student"
"They said they hoped to bring other important people to visit here and we hope that someday they will. 
","NA","Student"
"Specifically on this trip, they were looking for places to bring the new US Ambassador to Haiti who we found out has a special interest in the eradication of cholera  a disease that ripped through Haiti following the earthquake in 2010.","NA","Student"
"I often ask others for their ideas and try to blend the best of my thoughts with the best of theirs. 
","NA","Student"
"While I am not in charge of a team of people, I do encourage those around me to do their best.","STF","Student"
"Recently we completed a rebranding project for two of the departments below us in which I had to attend many meetings with both department heads, then work with my team to try to come to a conclusion that everyone was happy with.","STF","Student"
"While I am a part of a marketing team, I am the main marketing assistant and ultimately responsible for communicating with stakeholders.","STC","Student"
"While helping with the adventure camp this summer I had to help lead a group of 8-10 year olds through a very tough scavenger hunt across the city.","NA","Student"
"I also watched him provide more responsibility to those of us who had been here longer and put us in leadership roles to serve as mentors for the new staff members. 
","IDK","Student"
"This wasn't always the case though--they added on 4 more volunteers towards the end of fall 2017.","NA","Student"
"While Football has a full time graphic design intern, they also have 7 other part time design interns/volunteers.","NA","Student"
"We often allow the students to discuss the questions in smaller groups and then we discuss their responses in further depth as a whole.","NA","Student"
"While facilitating Aspire sessions we ask the students questions throughout the material to encourage dialogue and participation from students.","STF","Student"
"While designing the UPIC Magazine I had to meet with a group every week and present the design and ask for suggestions and ideas on how to improve it. 
","NA","Student"
"While coming up with the reconfigurable seating design of the vehicle, I held a discussion with the interiors subsystem team for the seat folding mechanism.","NA","Student"
"Whenever we would have our farm meetings the manager would go over our values, goals and visions.
","IDK","Student"
"We encouraged creativity and to share their different visions and ideas, in order to achieve the goal of a good social media feed. 
","TF","Student"
"This works as a brainstorm in which all ideas are encouraged and discussed. 
","STF","Student"
"I make my meetings very open and it has helped my mentees grow closer connections with each other and me as well. 
","STF","Student"
"Whenever a team member is unsure or unaware of the aspects of a particular Adobe product, I encouraged them or myself to engage with those who are more experienced with the product to gain valuable knowledge that could be used in the future. 
","STF","Student"
"Whenever a parent or student at orientation was on the fence about bringing a car to college, I encouraged them to talk about their transportation situation, so I could help them make the most well-informed decision based on their needs and our capabilities. 
","NA","Student"
"I also took their suggestions into consideration and made changes as needed. 
","STC","Student"
"I also made myself available for any questions that they might have.","STF","Student"
"When you have several people working on a project they don't always have the same vision.","NA","Student"
"We all felt comfortable working together and the paper was a success.
","NA","Student"
"I learned how to efficiently lead both the patient and their family member to the ideologies of healthy eating and exercising to improve the patients health. 
","STF","Student"
"When working with the best chance network patients, I would often have to work with the patient and their family members that were present.","NA","Student"
"When working with our graduate assistant on creating mentor modules for Canvas, we were able to work together to review the manual and create a vision for our project.","STF","Student"
"Specifically, when creating the database, I lead discussions about what methods would be most efficient and effective. 
","NA","Student"
"When working to update the website, we all had different ideas of what photos we should use to well represent our products and I encouraged each member to express said opinions.
","TF","Student"
"It was important to gather the information needed, but also make sure that all the graphics and copy was in line with the brand identity we wanted. 
","STF","Student"
"When working on the project to develop throwback thursday posts for campus banner and design, I had to serve as the middleman between campus banner and design and student affairs, and had to gather information from both groups that was needed to make this project a success.","NA","Student"
"When she got back, we finalized the report with her feedback and communicated the results to the directors previously mentioned. 
","NA","Student"
"When working on the audit, I was assisted by my coworker.","NA","Student"
"When working on the airplane project with my mentor I gained some leadership qualities.","STF","Student"
"It was crucial to me that my team members felt encouraged and confident so that they were able to do their best work as well.
","TF","Student"
"I have always valued leaders who are encouraging to their team, and are a great role model to look up to.","TF","Student"
"When working on my milestone group projects, it was very important for me to not only voice my opinion, but to also hear out what others have to say.","NA","Student"
"I encouraged my team to express different ideas they had for this to create a new vision for our workshops. 
","TF","Student"
"When we were trying to re-create our workshop series for students there was a lack of attendance at these events.","NA","Student"
"This allowed the group to come to a consensus and accomplish the task in the easiest, quickest way possible.
","IDK","Student"
"When we were trying to complete the tasks for the watermelon fields, I allowed everyone to contribute ideas of what the quickest way to accomplish the task would be.","STC","Student"
"We did this a few different times throughout the summer and working towards the same goal of figuring out a plan helped us to work better together in the field and in the lab, and especially during the outreach events. 
","NA","Student"
"Being the intern, I was kind of a middle man and the people above me bounced ideas off me.","NA","Student"
"Since many of us were not use to being given such freedom on a big project like this we often felt overwhelmed, so to help alleviate this I asked the other interns via email or personally what their ideas were","NA","Student"
"When we were brainstorming about the cycle time reduction for a particular supplier which intern reduces the part cost of the product reduces the supplier.","NA","Student"
"Since I am one of the more experienced lab members, I was in charge of creating the itinerary.","TC","Student"
"They agreed, and gave us feedback on what posters they would like to see, leaving us to decide which ones we would display to the incoming students.","STF","Student"
"When we started working orientation sessions, we were using a questionnaire board as our visual draw for students.","NA","Student"
