"Labeled Data","Final Label","Dataset Name"
", I had a meeting with my client and with a few people from our operations staff.","NA","Student"
", the graphics interns make the logos and the introduction clips, and the video interns capture the visual material and make it into a piece to be shared out on social channels.","NA","Student"
"
","NA","Mentor"
" As Ally's career progresses, I have no doubt she will be able to pull from her experiences as a student-athlete and business professional to become a great leader.
","NA","Mentor"
" Caleb did a lot of the work filming and editing, while I helped to compose questions for the interviews with staff.
","NA","Student"
"-When editing the fitness and tour video, I offered some examples of different techniques we could use for transitions between the clips.","NA","Student"
"1 - Ability to learn new technology quickly 2 - Creativity!!!","NA","Mentor"
"1) Daniel clearly has skills and knowledge that are well above average, with a strong work commitment, and self sufficiency, so he should take more leadership to encourage and share knowledge with other interns.","STF","Mentor"
"A design lead, I had the most knowledge and experience working with Adobe software.","STC","Student"
"A function of experience, I see her growing her voice in a collaborative setting - gaining confidence in trying new ideas and expressing her thoughts and opinions.
","NA","Mentor"
"A good example of leadership would be the agents in my office planning for the fair.","NA","Student"
"A large component of my internship involves empowering the girls in the program to love themselves and lead healthy, active lifestyles.","TF","Student"
"A major part of my internship required me to organize material and set-up meetings and discussions with our core team.","NA","Student"
"A minor defect was found in one of the components of a turbo, since it was not so important so everyone was ignoring it.","NA","Student"
"Abby joined the project as a UPIC intern after having participated one semester in the associated Creative Inquiry course.","NA","Mentor"
"Actually, it is very hard for me to say just a one quality - Meredith is an excellent student on all those qualities.
","NA","Mentor"
"After losing the first mentor, both Wilson and I had to step up and assume positions of leadership.","STC","Student"
"Again, because of the division in work and many projects nearly complete in design, it was difficult to take leadership.","NA","Student"
"Again, during our lean events, Lisa and I brought together large groups on people and had to get them to agree on a new process.","STC","Student"
"Again, teaching the MedEx students allowed me to expand on my leadership skills, show them what the mission of the program was, and assist them in working through this. 
","IDK","Student"
"Again, working with the director of science communication, I have been working on helping him and the department work together to create a new photojournalism style for some research project image sets. 
","NA","Student"
"Alex is smart and would be a good leader.","NA","Mentor"
"Alex prefers to work alone, so leading a team and delegating tasks is something he'll continue to grow in.
","NA","Mentor"
"All interns, on their first day were told what the organization does and were introduced to various equipment and software that the company uses.","NA","Student"
"All of the supervisors that work at CB + D, show great leadership skills and molded us interns into leaders; they definitely instilled some of those leadership skills into us.","STF","Student"
"Allison has grown in leaps and bounds in confidence through working at the Studio.","NA","Mentor"
"Almost every day I would discuss the daily routines with my fellow team members.","STC","Student"
"Although I was not there for meetings about nutrition that were conducted with the various members of sports teams, I have observed my mentor capitalize on the different strengths and backgrounds of student athletes when having meetings regarding their nutrition.","IDK","Student"
"Although Kasey wasn't put in a position to lead, her passive and quiet at times persona could be a risk.
","NA","Mentor"
"Although not an issue, more workplace experience would help with this.
","NA","Mentor"
"Although Owens leadership skills are good, he does not always delegate as much as he could.","STC","Mentor"
"Although the opportunity was not available often during this internship, Nithinkumar could use more growth in running projects.","NA","Mentor"
"Although the opportunity was not available often during this internship, Raj could use more growth in running projects.","NA","Mentor"
"Although there isnt a strong need for improvement, Gouri strikes me as someone who has an innate leadership ability and I think with good grooming she could becomae a great leader.
","NA","Mentor"
"Although this job did not have a specific leadership position, by taking initiative ,when I had no direction available, to complete an assignment would be an act of leadership to complete a common goal. 
","TF","Student"
"Alyse is a silent, incredible leader - but she is quiet.","NA","Mentor"
"Alyse is a very quiet young lady.","NA","Mentor"
"Amy has been great with us, however she has only been working in our location for a few months.","NA","Mentor"
"An example of leadership would be when I observed Mark Jensen (my mentor), divvying up tasks to the three interns (myself included) that were working at the time.","TC","Student"
"An example of this occurring on the job would be when one of my fellow interns was producing a piece that I knew needed to be redone.","NA","Student"
"Andrew worked almost exclusively with me, so he didn't have many opportunities to leverage the strengths of other team members.
","NA","Mentor"
"As a director, I am forced to take the lead on all projects and do things that other may not want to do.","TC","Student"
"As a group we are able to solve student problems however, we know which one of us should lead the discussion as they know more about the application than the rest of us or have had more experience dealing with a specific problem.
","NA","Student"
"As a manager of the RV parking for football season at the Snow Family Outdoor Fitness and Wellness Center, I was a leader and had to keep everyone interested in parking (over 300 people) up-to-date and aware of what was happening.","NA","Student"
"As a single co-op in our lab, William did not have much of an opportunity to demonstrate his leadership potential.","NA","Mentor"
"As a student intern, I think there is always room to grow with respect to leadership and ownership.","NA","Mentor"
"As a UPIC, I am a leader within the CI lab.","NA","Student"
"As a UPIC, I am also part of the Creative Inquiry that my mentor is in charge of.","NA","Student"
"As a worker for CORE we were always leading trips and organizing trips.","NA","Student"
"As an intern and young in the professional career, I wouldn't expect leadership to be a strength.","NA","Mentor"
