"Labeled Data","Final Label","Dataset Name"
"1 - Ability to learn new technology quickly 2 - Creativity!!!","NA","Mentor"
"3 - Dependable and ability to work independently Leadership, pleasant personality/warmth, and confidence in her work. 
","NA","Mentor"
"Corey can work on planning out the next phases of projects from a high level before going into the details as this will allow him to keep a tighter project schedule.","NA","Mentor"
"This skill will come with experience as he develops more expertise with projects.
","NA","Mentor"
"Could be a bit more engaged and take a leadership role in the team
","NA","Mentor"
"Courtney's unfamiliarity with the field kept her from exercising the confidence needed for leadership.
","NA","Mentor"
"Create a vision of how an area can be better and set a program to achieve this vision.
","TF","Mentor"
"Crystal has a take charge lead with great expectations and showing other how to as well.
","IDK","Mentor"
"Dalvin is pretty quiet, but I feel he could be a fantastic leader given the right opportunity.","NA","Mentor"
"He's smart and can figure things out quickly.
","NA","Mentor"
"Damea is very convincing and gets her ideas across well.","NA","Mentor"
"She can improve in encouraging input from others.
","IDK","Mentor"
"Through patiently demonstrating the proper techniques, we were able to finish a beautiful and professional video.
","NA","Student"
"Danielle didn't have many opportunities to demonstrate her leadership skills while she was with us; however, I believe she would have great skill and confidence in anything that she attempted, so continuing to develop her leadership skills when given the opportunity would be to her benefit.
","NA","Mentor"
"David has done a wonderful job serving as the lead on many projects to deliver great results.
","STF","Mentor"
"In my group of interns, there is a wide variety of majors.","NA","Student"
"In the end, I was able to align the visions of a marketing team with big time shareholders towards a common goal for innovation in the senior medical sector.
","TF","Student"
"Deepa needs to learn to share her knowledge and understanding of technology and processes to better engage others into her projects.
","NA","Mentor"
"Adrian could benefit from more opportunities to learn how to apply his strengths to lead others.
","STC","Mentor"
"A good example of leadership would be the agents in my office planning for the fair.","NA","Student"
"Adrian could benefit from more opportunities to learn how to apply his strengths to lead others.
","NA","Mentor"
"Deidra has one of the hardest group of mentees to wor with (transfer students) but she has been able to reach them and for a great group of students.
","NA","Mentor"
"In our weekly Monday meeting my teammates would come up with creative ideas and i always respected them and gave credit when they were due.","STF","Student"
"Delaney came into this internship already participating in several of the programs that I am involved in.","NA","Mentor"
"She was able to take our work to the next level by taking the lead and forming new partnerships with groups on campus!","NA","Mentor"
"She also took the lead with our instagram page which has resulted in much more engagement with other students!
","NA","Mentor"
"She gave them the directions and assisted them when necessary.","IDK","Student"
"Delaney doesn't see herself as a leader, but I put her into a leadership position of sorts partway through the semester, and she took the reins and ran with it.","NA","Mentor"
"Although the outcome wasn't what I was hoping (this was for our division intern project...which fell flat on the staff side, mostly, but partly on the intern side), she was willing to allow me to put her into a leadership position for a project that she wasn't initially supposed to lead, and was asked to kind of pick up the pieces and produce a product.","NA","Mentor"
"They weren't really able to pull it together  unfortunately  but she set off on the right path.","NA","Mentor"
"There's some work there to do, but I think she has great potential as a future leader.
","NA","Mentor"
"In the regular (often) meetings that we had to have for crossing traffic detection, because of the complexities of the work, members of the team used to express different opinions for each part of the work.","NA","Student"
"Delaney has been an intern in the Studio for awhile and you can see the other interns look to her for guidance and help.","STF","Mentor"
"It is a role she embraces and thrives in.
","NA","Mentor"
"Delaney has been tasked to complete one big project before her internship has finished and was recommended to seek out advise and insight from people in other areas of the business.","NA","Mentor"
"Although she has done this to an extent, I feel she could make better use of other's knowledge and use it to her advantage.","IDK","Mentor"
"Delaney should feel confident and empowered to ask senior colleagues for advise and help to inform her work.
","NA","Mentor"
"It was a common occurrence that myself or one of my coworkers would run into a challenge in Revit, our drafting and modeling software (technically BIM software, or building information model).","NA","Student"
"Demonstrated great leadership with her mentees.
","NA","Mentor"
"I led our team of interns in the school book project and organized the whole thing.","NA","Student"
"Diamond does a great job taking initiative and following through with her projects.","NA","Mentor"
"She is also an RA and is a natural leader.
","NA","Mentor"
"Didn't have much opportunity for this
","NA","Mentor"
"We would also develop more tasks depending on what their recent events were. 
","NA","Student"
"Displays great leadership with her mentees and guideing them in their freshman year.
","NA","Mentor"
"I feel that I exemplified this by taking charge everyday of the work assigned to me and then going above and beyond to complete that work. 
","IDK","Student"
"During this next semester, it will be rewarding to see Allie's improvements in this area.","NA","Mentor"
"I will be asking Allie to lead a project.
","NA","Mentor"
"Ajinkya can take an active role and be a self-starter in projects which will help him develop as a leader.
","NA","Mentor"
"During this semester we identified that Chip would be the best person to lead the Makerspace in the Fall, based, on part, to his leadership skills
","NA","Mentor"
"I was in charge","STC","Student"
"Emily as our senior student intern served as a model and a guide for all of the other interns helping us to integrate them into our workflow very smoothly.
","STF","Mentor"
"Emily has always been a leader but this year grew in this area even more so being our most senior intern and serving as an example and guide to our other 4 interns.
","STF","Mentor"
"Emily hasn't had the opportunity to take the lead on a significant project.","NA","Mentor"
"We plan to begin giving her this opportunity beginning in the spring.
","NA","Mentor"
"Emma shows tremendous initiative and maturity in developing, communication and bringing to fruition her vision for Clemson's Sustainability initiatives.","IDK","Mentor"
"She has outstanding leadership skills that will take her far in her career.
","NA","Mentor"
"Emmaline has had to work with many different stakeholders, including students, faculty, staff and external organizations, and she has been able to achieve her vision in doing so.
","STF","Mentor"
"Eric was great at working independently and along with others to achieve project goals and has the capability to be a great leader.","NA","Mentor"
"During his internship with us he did not take leadership over the projects he was given to bring them to success, rather he relied on others.","NA","Mentor"
"This may be a note for us and our internship to provide more opportunities for leadership to the students.
","NA","Mentor"
"Eva didn't have many opportunities to lead others while in her position.","NA","Mentor"
"However, when given the chance she jumped at it.
","NA","Mentor"
"Even though I consider Ian a great leader he introverts very quickly which isolates his work function, with he knowledge drive and charisma he will be a great leader.
","IDK","Mentor"
"Even though Reilley is an excellent Cast member, she needs to learn how to lead and push her peers to do better and improve their performance.
","STC","Mentor"
"Alex could use additional opportunity leading projects to gain this type of experience.
","NA","Mentor"
"Even though she will be studying abroad in the spring and wont be interning for the Watt Center, I would still love to keep up with Carolines growth in her leadership skills.","NA","Mentor"
