"Labeled Data","Final Label","Dataset Name"
"1 - Ability to learn new technology quickly 2 - Creativity!!!","NA","Mentor"
"3 - Dependable and ability to work independently Leadership, pleasant personality/warmth, and confidence in her work. 
","NA","Mentor"
"This newsletter includes all updates on SFG at schools all over America.","NA","Student"
"I became much more responsible this semester, and much more in charge of my actions. 
","NA","Student"
"This allowed for us to come together and have a chance to share and listen to each others ideas and visions an use it to help better our work in our department.
","NA","Student"
"I then had to combine my findings and pitch to my bosses why we should purchase a golf cart and which option to go with.","IDK","Student"
"Took time to learn the nuances of my work.","NA","Student"
"so I had to align people from different groups to work together to make this a reality.
","STC","Student"
"I was the lead on the Clemson Guide App project and co-lead on the School Book project.","NA","Student"
"Corey can work on planning out the next phases of projects from a high level before going into the details as this will allow him to keep a tighter project schedule.","NA","Mentor"
"As an intern, it was difficult to find leadership opportunities.","NA","Student"
"Corey can work on planning out the next phases of projects from a high level before going into the details as this will allow him to keep a tighter project schedule.","NA","Mentor"
"This skill will come with experience as he develops more expertise with projects.
","NA","Mentor"
"This not only included the Marketing department but also the majority of the company would be experiencing major changes.","TF","Student"
"He would look to me for editing and word play and he would look to my colleague for her social media skills to make the posts standout. 
","NA","Student"
"She was helping them prepare for the COSMIC program in the upcoming fall. 
","NA","Student"
"I witness this type of leadership and group development every day when I come to work, especially when we receive a large order.","NA","Student"
"This task force involved people from all aspects of the program, including design interns, production inters, marketing interns, and business administrative interns. 
","NA","Student"
"As being a seasoned intern with the Senate, the new interns often come to me with questions or asking for advice with their tasks. 
","STF","Student"
"Could be a bit more engaged and take a leadership role in the team
","NA","Mentor"
"In other words, I see him be a leader by this distribution of responsibilities.
","TC","Student"
"I witnessed my mentor Kelly Geiger lead her team in an effective way that capitalized on the unique strengths of the individuals on her team.","IDK","Student"
"She develops her employees by encouraging and mentoring them in their current roles and by thinking of their future within the department and how they could grow.","TF","Student"
"I had to give space for the person to formulate their question, and generate a positive discussion surrounding their concerns.
","NA","Student"
"We had several discussions in our team wherein each member came up with ideas.","NA","Student"
"Courtney's unfamiliarity with the field kept her from exercising the confidence needed for leadership.
","NA","Mentor"
"I had taken it up as a personal aim to set up goals for the week and working towards it.","TC","Student"
"I worked really close with a girl named Gloria.","NA","Student"
"She was also a college student studying communications and worked part time at momentum2.","NA","Student"
"That is where we worked well together to make engaging posts","STF","Student"
"I worked to help the new intern understand our responsibilities.
","STF","Student"
"Create a vision of how an area can be better and set a program to achieve this vision.
","TF","Mentor"
"This meeting helped in getting a lot of opinions and it helped me to gain a lot of potential issues which can happen by any changes implemented.","NA","Student"
"I would also communicate with their superiors about their excellent work performance. 
","TC","Student"
"I would help others when needed
","NA","Student"
"We would all discuss different things that we did to fight stress or stay motivated, and we all learned from each other.
","STF","Student"
"Crystal has a take charge lead with great expectations and showing other how to as well.
","IDK","Mentor"
"I would often take this roll by planning out what would have to be completed each day.
","NA","Student"
"I would say my answer for the communication skills question also applies to this question.","NA","Student"
"I would take on projects that I was the leader of and had to make a plan to carry out.
","TC","Student"
"Dalvin is pretty quiet, but I feel he could be a fantastic leader given the right opportunity.","NA","Mentor"
"He's smart and can figure things out quickly.
","NA","Mentor"
"After a couple of failures, I had some idea about the approach of each team member to the problem we were trying to solve.","NA","Student"
"I tried to ask at least one player's opinion in each short talk out of the several discussions which we had during the game.","NA","Student"
"She was having trouble picking what to write about and I helped her reflect on the semester going over what might be valuable for her to write and the community to read.","STF","Student"
"In a meeting, I brought up a topic about a specific problem with a process and a possible solution that I had thought of.","IDK","Student"
"this is satire where you could share something with the group and let them vision the ideas that you think about.","STF","Student"
"There have been many instances of clients wanting to have a Zero Waste event, in which I have been able to provide the contacts to volunteers to help with the event!","NA","Student"
"Our boss value each person idea and is curious to know other members' comment on the project.","TF","Student"
"In an effort to save power in the building, I proposed that one of my projects from last semester be considered to be used in order to minimize the time where computers are on and not doing anything.","STF","Student"
"Damea is very convincing and gets her ideas across well.","NA","Mentor"
"She can improve in encouraging input from others.
","NA","Mentor"
"That is how we got to the idea of Habitat for humanity by getting my committee together to discuss ideas.
","IDK","Student"
"She can improve in encouraging input from others.
","IDK","Mentor"
"That is how we got to the idea of Habitat for humanity by getting my committee together to discuss ideas.
","NA","Student"
"Through patiently demonstrating the proper techniques, we were able to finish a beautiful and professional video.
","NA","Student"
"I met with each team, listened to the different perspectives, and encouraged ways they could combine their idea together to take an even better direction.
","STF","Student"
"Each step will make a large difference in campus and contribute to our overall goal of assisting in Earth Day Awareness and Appreciation, and it is astonishing how many people do not hold a standard appreciation for the planet they live on.","NA","Student"
"In ECS Southwest LLP we are about 10 to 12 field technicians and couple of them are working with ECS for a long time and 3 interns including me were joined in the month of may and the experienced field technicians were very helpful.","NA","Student"
"Danielle didn't have many opportunities to demonstrate her leadership skills while she was with us; however, I believe she would have great skill and confidence in anything that she attempted, so continuing to develop her leadership skills when given the opportunity would be to her benefit.
","NA","Mentor"
"He helps keep colleagues on track by notifying them on problems and requesting periodic updates.","TC","Student"
"In fundraising for The Vagina Monologues, I came up with a craft idea.","NA","Student"
"In interviews with students that I conducted, I had to ask a lot of questions about their lives and experiences at Clemson.","NA","Student"
"This involved communicating goals and progress to all stakeholders.
","TC","Student"
"David has done a wonderful job serving as the lead on many projects to deliver great results.
","STF","Mentor"
"As I am working in a small company, we have a very interactive and friendly atmosphere.","NA","Student"
"In my group of interns, there is a wide variety of majors.","NA","Student"
"I had to be detailed enough for the chemical and electrical engineers to know what to do, and simple enough for the civil engineers to help with the big picture of the problem faced.
","NA","Student"
"We then decided to work together to apply for the grant, to hopefully increase nursing access to developing technologies such as 3D Printers.
","NA","Student"
"I enjoyed working in that sort of atmosphere because I watched several different viewpoints come to the table, and then we would all discuss and combine them to create one unified viewpoint.","IDK","Student"
