Labeled Data|Final Label
Plate making is an important step in the pre-press process.|NA
Each individual on our team has different methods to succeed in plate making.|NA
"Pointed out areas of improvement to mentor and improved them.
"|IDK
Prior to the Spring Jubilee Festival, we realized that the construction in downtown Pendleton would cause a change in our usual booth locations.|IDK
Many returning artists were frustrated with this change, but I was able to converse with some and change their perspective into a positive one.|TF
"The discussions we had over our work very frequently led us to positive results, which was especially crucial when we were working towards the same goal on a joint project. 
"|IDK
I established and utilized programs including GroupMe and Doodle Poll to make this possible.|NA
"This is the time where I felt that instead of sharing(email) I should meet with them and communicate face to face as this will allow me to make them understand my work better which eventually will help us in achieving same goal in better way.
"|IDK
Since I was an intern in my company, I never got to lead a team in a high professional level.|NA
Since I was one of the returning interns at the office I was given more responsibilities than I have in the past.|NA
Since I worked independently with only my site mentor I had very few opportunities to empower others in the workspace.|NA
However, I took the lead in planning deadlines for myself to make sure work was completed in time.|TC
Since we have different sections of our department, I took the place as the spokesperson during our weekly meetings.|IDK
"I took all of the information that I was given from the other student employees and managers, and I was able to make sure that their concerns and questions were presented in the meeting. 
"|IDK
Some defective parts were sent back to the plant from the customer.|NA
My supervisor put together a team to analyze the parts, to determine the reason for failure in the parts.|IDK
"The team worked over time and for a few days with various people taking turns to help with the task at hand to get to the cause of the problem and ensure that no defective parts are sent out.
"|TC
"For a project I noticed he gave them a appreciation certificate as well.
"|TC
"It was during these discussions we made sure everyone spoke up about the problems they faced in the project, and everyone was encouraged to speak up on any potential solution ideas to resolve it.
"|IDK
We have been trying to use this information to provide better services to the students.|NA
"This semester I didn't have very many group meetings, most were one-on-one or me acting as a liaison between two different parties.
"|IDK
"The director of my department does a great job of meeting with other department heads to get a clear understanding of what they want/expect when requesting a project from marketing, then presents us with a broad idea of how she thinks we should go about it, but then opens up the floor for anyone to chime in with any differing ideas they may have on their area of expertise
"|TF
"so I had to take the initiative for everything and motivate myself and lead myself.
"|IDK
"This was a great example of a supervisor recognizing and utilizing the specific strengths of an individual. 
"|TF
The internship at the dairy is not really a group activity, its generally only two individuals running the parlor: one intern, one farm employee.|NA
"and he knows how to designate a job for all of us.
"|IDK
"Our goal is to operate like a top 20 machine shop in the USA, and we are constantly striving for that goal.
"|TC
The non-profit I interned for is a coalition that is made up of a bunch of different health organizations in the county.|NA
The other intern and I constantly discuss work and projects.|NA
With that in mind, over the course of the semester, a lot of the events that FIRST held were planned by the student org, so being the intern helped the communication between the director and the student org.|NA
The plant manger at my plant leads a team of supervisor from all departments.|NA
I took the responsibility of the code that I had written and also analyzed to see that my fellow teammate whose code did not had problem.|TC
"We both then together solved the issue and we solved it better that we got an appreciation form the higher management on making a very nice validation software application.
"|TF
The Sr. Quality Manager to whom I reported inspired me by his style of addressing people and issues.|IDK
"As a member of the former and an employee of the later, it was my responsibility to work to fulfill the goals of both organizations, whether it be in providing assistance and access to the space's technology, or working to recruit additional members to our space's club through our normal hours of operation.
"|TC
The woman above my boss held a conference called the Autism Awareness Workshop where she brought in professionals from many different areas that dealt with Autism like occupational therapists, speech pathologists, psychiatrists, and pediatricians to speak about their work with Autism.|NA
Through information and drop-in sessions I helped RiSE students find programs that could work for their majors and advised them on how to go about the study abroad process.|TF
"I had to actively discuss with the workers what they 
"|IDK
"But through collaborating and communicating with my peers I have become more confident in my abilities to lead people.
"|IDK
"We got everything done in the day with time to spare.
"|TC
This situation showed me that during employment, there were going to be external hardships that influenced the way that day to day operations were run.|NA
There was another intern working alongside me throughout the duration and often times we were assigned to the same project.|NA
If we were not on the same page it was very difficult to complete a task|NA
There was one day when all of us interns and our mentors went up to 4th floor WATT and we had to trace every electrical wire to it's correct box.|NA
"Every day a supervisor put him on one and he was the main guy to work it.
"|NA
There wasn't much room for leadership in the internship as I worked alone.|NA
"The first event was a pond restoration at the Anderson Civic Center and the second event was a stream clean up where I was in charge of 13 kids age 11-17 in an effort to restore a stream off of 28 by-pass in Anderson SC.
"|TC
I used my previous knowledge about quality and the concerns they had about these racks to lead the team to do some testing and make suggestions for improvements.|TF
This is practiced all of the time in my internship position.|NA
"In order to achieve our goals for each event in a proper manner, my UPIC mentor meets with me and the other UPIC intern and explains everything that needs to happen for each individual event and tells us what we need to do in order for the whole to work together to achieve success. 
"|TC
This is similar to my answer to question 23.|NA
"In this way we not only allowed the stakeholders to own the process themselves but also be aware and acknowledge the contributions of all the members of the process as a whole.
"|TF
This pretty much happened anytime I assist a photographer on a shoot.|NA
"This often times involved taking on leadership roles to achieve the appropriate end goal.
"|TC
Our project involved laying down sod for a morning.|NA
I wanted her to be hands on so that she was not overly stressed when I was not there.|IDK
"This semester I have had to train new SEC's for them to take over while balancing school and my job well.
"|TC
"This was a great way for me to step into a leadership role.
"|NA
This semester since I have not been focusing on training our new interns but rather doing research, I have had the opportunity to really watch my manager.|NA
A lot of what we do at student patrol is changing towards meeting broader campus safety objectives.|TC
"This requires a lot of leadership on my part in order to make sure all of our positions are working together effectively and aware of what the immediate and overarching goals are.
"|IDK
"My leadership definitely aided in the effectiveness of this campaign and I am proud of all the success that my coworkers achieved. 
"|IDK
At Campus Rec, I worked in the CRC room which was a room full of Campus Rec interns.|NA
Through SEE Clemson I gave prospective students and their parents tours of campus and sat on a panel for the students to ask questions about Clemson.|TF
This was during the 5S audit in the plant.|NA
There was a template to be prepared for the audits.|NA
I gave my support to one idea which I felt to be impressive and my inputs were considered.|TF
We kept notes and then I compiled and finalized the information after the meeting.|IDK
"That was a great experience for me, and I really enjoyed working with the group of people to come up with fun and creative ideas. 
"|NA
Through this experience, I was able to serve as a leader to these students by connecting them to other organizations which I felt that would get them the best connected to Clemson.|TF
"I have given presentations to other college students through Dr. Hannons courses where I have gotten lots of feedback about how inspirational it is.
"|TF
Throughout my internship, individuals would come to me with their information and deadlines and I would create marketing activities based on these specific needs.|IDK
While the departments are different, they have one thing in common: representing campus recreation in a positive, uplifting light.|NA
"This broad organizational objective was necessary in creating consistent, accurate Campus Recreation branding. 
"|TC
Throughout the semester work was being done to the 4th floor.|NA
Some of our previous ideas included a percent night at GrouchoÕs and hanging and handing out flyers for our ÒItÕs|NA
"Which helped out a lot.
"|NA
Toward the end of this semester we delivered a mobile aquaponics system to Erskin College in Due West, SC.|NA
"Everyone was open to sharing their ideas and view points and once again they were asking me questions, which I guess would place me in some sort of leadership position. 
"|IDK
"Trina and others initiated a sip and paint for our program so that the other students can have a decompressing event.
"|TF
"Understood basic ideas about what all engineers do and then started attending meeting with all of them and learning/analyzing what is going on.
"|IDK
Likewise, during the fall, our entire group worked as a team to effectively carry out this competition.|IDK
This is a great way to have informative discussions and really just be able to learn and push everyone else.|IDK
Very similar to what I described above in the first meeting I had with a Risk Area, we met with that same Risk Area, but this time, the major of the Risk Owners were present at the meeting.|NA
We analyzed the results from different people and did a open discussion on these results.|NA
"at mentor group meetings, I ask for the opinion of others. 
"|TF
We consistently held meetings with all the interns in University Relations to ensure that all viewpoints were shared in an open forum.|TF
"After kind of explaining the method to the group and the benefit, everyone saw the need for us to be methodical in the way we completed the project.
"|TF
