ID,PID,Text
1,1_0,"""When I started up as CPT"
1,1_1, a bunch of SPOs were
1,1_2, basically
1,1_3, awful- sleeping in cars
1,1_4, not scanning all buildings
1,1_5, not meeting scan times
1,1_6, going inside
1,1_7, ect
1,1_8, This was at first due to lack of viewable scans (when we were transitioning between systems)
1,1_9," but it continued afterwards once the norm of """"slacking"""" was established"
1,1_10, Changing that was difficult and took many tough conversations and arm-twisting (both for SGTs and LTs to watch for this
1,1_11, as well as with the offending SPOs)
1,1_12, With our low numbers now and lack of scan checks with the move and issues for the past month beforehand
1,1_13, there was a danger that this slack-ness would return
1,1_14, I am happy to say it has not
1,1_15, which I think is attributable to a new norm of *quality* to the shifts done
1,1_16, even if we are low on SPOs
2,2_0,"""A large component of my internship involves empowering the girls in the program to love themselves and lead healthy"
2,2_1, active lifestyles
2,2_2, At the beginning of each after-school meeting
2,2_3, the girls have a journal prompt that asks them to reflect on the previous lesson we discussed and then allowing them to share their thoughts
2,2_4, I believe this was an incredible way to me to analyze progress and present future topics that needed to be implemented again
2,2_5, From their journal reflections
2,2_6, I felt that I watched the girls grow more confident in themselves
2,2_7, Middle school girls commonly never discuss with friends or family some of the sensitive topics we go over
2,2_8, By sharing their thoughts
2,2_9, they were able to connect with each other and feel united by their feelings
3,3_0,"""A significant part of my position was to act as the President Business Ambassador"
3,3_1, I brought together 16 student volunteers to aid with multiple events on-campus
3,3_2, We were successful in completing these events in a professional
3,3_3, efficient way
3,3_4, Together
3,3_5, we were able to provide incoming students with the knowledge and confidence they will need to be successful at Clemson
3,3_6,
4,4_0,"""Aligning group objectives with global objectives was one of my primary roles in my internship"
4,4_1, I was working with teams who are working on a variety of projects to address needs in Haiti
4,4_2, In order to help them progress
4,4_3, I would often help them align their narrow objectives such as writing a literature review to why they are doing it
4,4_4, There was a constant need for relating small goals to global issues
4,4_5, particularly the global water crisis
5,5_0,"""Although I usually complete intern tasks"
5,5_1, and don't take a great leadership role in the office
5,5_2, I set a standard for myself to partner with and support the office as a servant leader by completing tasks to the best of my ability
6,6_0,During the semester I trained new interns on fundamental tasks around the office
6,6_1, I showed an intern how we file important documents because the filing is done strategically and then I left her with the task to go complete another project I was working on
6,6_2, We both then communicated to our supervisor that the filing had been complete
7,7_0,"""As a director"
7,7_1, I am forced to take the lead on all projects and do things that other may not want to do
7,7_2, I delegate work evenly and fairly in addition to taking responsibility for my whole team and their actions
7,7_3, This includes making sure my marketing team knows how important the work we are doing in Haiti is
7,7_4, Because my entire team was new this semester
7,7_5, I had to constantly work to help them understand the vision of CEDC and get everyone on the same page
8,8_0,"""As a part of my internship"
8,8_1, I was invited to give a presentation to the Spiro Advisory Board ahead of the annual Pitch Smackdown
8,8_2, This is a board of Clemson Alumni
8,8_3, professors
8,8_4, and other influential venture capitalists and angel investors with a vested interest in Clemson entrepreneurship
8,8_5, During my presentation
8,8_6, I established a rapport and sense of purpose behind my and Dr
8,8_7, Mentor's case study initiative focused on highlighting alumni entrepreneurship and encouraging student entrepreneurship
9,9_0,"""In my role I have served as the head strategist for the Clemson Immersive Space"
9,9_1, so I set goals for branding
9,9_2, operations
9,9_3, and outreach
9,9_4, I have led a staff team of four students (including myself) in establishing consistent operating hours and procedures in the Immersive Space
9,9_5, I also interact with users and lead group interactions with VR technology in the space on a regular basis
10,10_0,"""As an intern at Clemson CAPS"
10,10_1, I assist the broader organizational goals of the entire organization by promoting mental health awareness
10,10_2, and using my unique position as both Clemson student
10,10_3, and CAPS employee to promote the services we provide and assist in executing the long term goals of the organization
10,10_4, For example
10,10_5, I attended a Health Fair put on by Clemson where Person and I handed out brochures of the various programs CAPS offers
10,10_6, and met with interested students to walk them through the process of requesting counseling and meeting with clinicians in CAPS
11,11_0,"""As I am working in a small company"
11,11_1, we have a very interactive and friendly atmosphere
11,11_2, My seniors often discuss their project ideas with me and take my opinion into consideration
11,11_3, They also gave me the freedom to [m]ake my own decisions regarding certain graphic presentations even though they were probably different from their own style
