ID,PID,Text
1,1_0,"""When I started up as CPT, a bunch of SPOs were, basically, awful- sleeping in cars, not scanning all buildings, not meeting scan times, going inside, ect."
1,1_1,"This was at first due to lack of viewable scans (when we were transitioning between systems), but it continued afterwards once the norm of """"slacking"""" was established."
1,1_2,"Changing that was difficult and took many tough conversations and arm-twisting (both for SGTs and LTs to watch for this, as well as with the offending SPOs)."
1,1_3,"With our low numbers now and lack of scan checks with the move and issues for the past month beforehand, there was a danger that this slack-ness would return."
1,1_4,"I am happy to say it has not, which I think is attributable to a new norm of *quality* to the shifts done, even if we are low on SPOs."
2,2_0,"""A large component of my internship involves empowering the girls in the program to love themselves and lead healthy, active lifestyles."
2,2_1,"At the beginning of each after-school meeting, the girls have a journal prompt that asks them to reflect on the previous lesson we discussed and then allowing them to share their thoughts."
2,2_2,I believe this was an incredible way to me to analyze progress and present future topics that needed to be implemented again.
2,2_3,"From their journal reflections, I felt that I watched the girls grow more confident in themselves."
2,2_4,Middle school girls commonly never discuss with friends or family some of the sensitive topics we go over.
2,2_5,"By sharing their thoughts, they were able to connect with each other and feel united by their feelings."
3,3_0,"""A significant part of my position was to act as the President Business Ambassador."
3,3_1,I brought together 16 student volunteers to aid with multiple events on-campus.
3,3_2,"We were successful in completing these events in a professional, efficient way."
3,3_3,"Together, we were able to provide incoming students with the knowledge and confidence they will need to be successful at Clemson."
4,4_0,"""Aligning group objectives with global objectives was one of my primary roles in my internship."
4,4_1,I was working with teams who are working on a variety of projects to address needs in Haiti.
4,4_2,"In order to help them progress, I would often help them align their narrow objectives such as writing a literature review to why they are doing it."
4,4_3,"There was a constant need for relating small goals to global issues, particularly the global water crisis."
5,5_0,"""Although I usually complete intern tasks, and don't take a great leadership role in the office, I set a standard for myself to partner with and support the office as a servant leader by completing tasks to the best of my ability."
6,6_0,During the semester I trained new interns on fundamental tasks around the office.
6,6_1,I showed an intern how we file important documents because the filing is done strategically
6,6_2,and then I left her with the task to go complete another project I was working on.
6,6_3,We both then communicated to our supervisor that the filing had been completed
7,7_0,"""As a director, I am forced to take the lead on all projects and do things that other may not want to do."
7,7_1,I delegate work evenly and fairly in addition to taking responsibility for my whole team and their actions.
7,7_2,This includes making sure my marketing team knows how important the work we are doing in Haiti is.
7,7_3,"Because my entire team was new this semester, I had to constantly work to help them understand the vision of CEDC and get everyone on the same page."
8,8_0,"""As a part of my internship, I was invited to give a presentation to the Spiro Advisory Board ahead of the annual Pitch Smackdown."
8,8_1,"This is a board of Clemson Alumni, professors, and other influential venture capitalists and angel investors with a vested interest in Clemson entrepreneurship."
8,8_2,"During my presentation, I established a rapport and sense of purpose behind my and Dr. Mentor's case study initiative focused on highlighting alumni entrepreneurship and encouraging student entrepreneurship."
9,9_0,"""In my role I have served as the head strategist for the Clemson Immersive Space, so I set goals for branding, operations, and outreach."
9,9_1,I have led a staff team of four students (including myself) in establishing consistent operating hours and procedures in the Immersive Space.
9,9_2,I also interact with users and lead group interactions with VR technology in the space on a regular basis.
10,10_0,"""As an intern at Clemson CAPS, I assist the broader organizational goals of the entire organization by promoting mental health awareness, and using my unique position as both Clemson student, and CAPS employee to promote the services we provide and assist in executing the long term goals of the organization."
10,10_1,"For example, I attended a Health Fair put on by Clemson where Person and I handed out brochures of the various programs CAPS offers, and met with interested students to walk them through the process of requesting counseling and meeting with clinicians in CAPS."
11,11_0,"""As I am working in a small company, we have a very interactive and friendly atmosphere."
11,11_1,My seniors often discuss their project ideas with me and take my opinion into consideration.
11,11_2,They also gave me the freedom to [m]ake my own decisions regarding certain graphic presentations even though they were probably different from their own style.
12,12_0,"""As I mentioned in the collaboration section, there was another intern with whom I worked closely."
12,12_1,At the beginning of the semester I had the opportunity to lead as I was given the responsibility to inform her of various things that were happening in our programs as well as teach her how to work our database that we use for participant data.
13,13_0,"""I am technically above over 8 people on the CEDC organization chart, which at one time would've scared me."
13,13_1,"Now, I feel comfortable delegating work and trusting my teammates, to the point where I am now taking on a large leadership role next semester as Assistant Program Director."
14,14_0,"""As team lead, it is important to recognize and capitalize on the unique strengths of team members in order to maximize effectiveness."
14,14_1,I was able to do this by identifying individual skills and personalities in team members and encouraging them to apply them to their work for the betterment of the [Organization].
15,15_0,"""As the director of Technical Solutions, I provided my assistance to other groups and my group member as needed, enabling them to achieve their goals."
15,15_1,I also discussed accomplishments and team progress to the CEDC board of directors in weekly meetings.
16,16_0,"""As the Director, I had to encourage my team to reach their full potential for the betterment of [Organization]."
16,16_1,I communicated their accomplishments to the outlet heads so that they could see that we were a resource for them to use.
17,17_0,"""I became well versed in making sure everyone was doing their tasks."
17,17_1,"To make sure everything was done every day, I had to step up and set a good example by rounding everyone up and getting them to do what was needed rather than slack off."
17,17_2,"This was hard at first, but after a while it became easier to motivate others to do what was needed."
18,18_0,"""At [organization] we do this every single day."
18,18_1,"The environment here is nothing short of a positive, encouraging atmosphere where people are always pushing you to achieve more and better the company's overall goal."
19,19_0,"""I define leadership as an influence on the others around you."
19,19_1,"How I showed leadership this semester was always encouraging if someone doesn't know something, ask, so we can find that solution."
19,19_2,"If I don't know that solution, the internet is a great tool."
19,19_3,This promote collaboration and technology skills.
20,20_0,"""Being in charge of the graphics team, there were many instances where I was able to direct and lead members to achieve a vision I had if the task was delegated to them."
20,20_1,"There were many instances where I would be overwhelmed with large projects, but would effectively communicate the plan and vision with others so that they could create the graphics I needed."
21,21_0,Coordinating video shoot times with different departments and getting people to show up to commitments was something I was tasked with doing for a few projects
22,22_0,I support everyone in our office and I try to empower others to strive to do their best.
22,22_1,I have had so many opportunities to learn about the vision of the COB and how to continue the vision
23,23_0,"""I had a problem mid-way through the semester with my higher ups not being responsible and allowing the lower ranking workers to get away with things that should not have been allowed."
23,23_1,"I had to call a meeting with everyone who was in that position to completely go over everything that they were supposed to have already been doing, and then added new steps to increase accountability in that position."
23,23_2,"I had to spend a lot of time checking back over their work to make sure that everything was on track, but so far the work has been exceptional!"
24,24_0,I work to lead creative inquiry groups and other interested on campus organizations in serving as an extension of the Clemson agricultural extension program and working to connect the community and Clemson students to local food systems
25,25_0,"""Many of the other student workers would ask me what there was today, and we would all work together to accomplish goals."
25,25_1,Each employee has a special talent when it came to jobs that would utilize their potential we were sure to put them on that job.
26,26_0,"""Intern brings a level a poise to the work she does that very few othere in her peer group could acheive."
26,26_1,"She takes charge of situations, she is self-directed and she finds ways to bring great things out of those she works with, even beyond what they thought was possible."
27,27_0,Intern served as my right hand and delegated responsibilities to his peers.
27,27_1,He showed managerial leadership even when spread thin between two research projects and many assignments I gave him
28,28_0,Intern was able to lead groups of students in a manner that both parties respected each other and work was positive
29,29_0,Intern has been an intern in the Studio for awhile and you can see the other interns look to her for guidance and help.
29,29_1,It is a role she embraces and thrives in
30,30_0,"""During this semester we identified that Intern would be the best person to lead the Makerspace in the Fall, based, on part, to his leadership skills"
31,31_0,"""Intern shows tremendous initiative and maturity in developing, communication and bringing to fruition her vision for Clemson's Sustainability initiatives."
31,31_1,She has outstanding leadership skills that will take her far in her career.
32,32_0,"""I am working at [organization]."
32,32_1,Intern worked in the summer to help my research group to conduct several research topics.
32,32_2,"During his stay, he performed as a leader to organize and conduct the research with several other junior researcher/students."
33,33_0,I would have preferred to be able to select two competencies - Leadership and Collaboration.
33,33_1,I selected Leadership because Intern has taken the lead in establishing the VR Immersive Space at the Watt Center.
33,33_2,But in doing so he also displayed considerable collaborative and communications skills
34,34_0,Intern works well with others and has demonstrated the ability to use others' strengths to complete tasks
35,35_0,Intern's ability to lead and inspire those around her is inspiring and a great reflection of her success in this internship.
35,35_1,She encouraged her residents (members of the Wellness LLC) to be well and take part in different wellness opportunities on campus
