ID,PID,Text
1023,1023_3,There were situations where we were behind the match and everyone had different point of view for catching the score.
1269,1269_1,"In my first round of interviews with the student-athlete department, I felt like it had not gone well because even though I answered their questions, I never had any questions to ask them, which showed how little I actually knew about the program."
1194,1194_0,We frequently meet with many professionals and leaders.
750,750_0,"It is pivotal to get feedback from others so that I can design to meet everyone's needs not just one.
"
712,712_1,"I enjoyed working in that sort of atmosphere because I watched several different viewpoints come to the table, and then we would all discuss and combine them to create one unified viewpoint."
462,462_1,"I had to explain these storyboards and get her to understand them and be excited about them as well.
"
1018,1018_2,"I constantly reassured the members that their youth didn't mean they weren't valuable members of the team and that their input was welcome.""
"
1188,1188_1,"And we successfully figured out the right way to solve the issues in our fabrication processes.
"
801,801_0,"""Multiple new employees starting working in the Study Abroad Office this semester and my mentor, [mentor], did a great job respecting their strengths as they began working together throughout the semester.""
"
67,67_1,The ending project for the CI was to produce a project proposal and present your research to the staff.
500,500_1,"She has encouraged me to bring this to my own action by designing posts to reach towards Muslim students when the dining hall offers specific foods of their culture during particular times of the month.""
"
454,454_0,"""I had a problem mid-way through the semester with my higher up's not being responsible and allowing the lower ranking workers to get away with things that should not have been allowed."
960,960_0,"""One part of my internship was completing a resources list for our health coaches to use to assist our participants with resource navigation within the community."
523,523_0,"I joined the project discussion and meeting and observed how the project leader organizes and distribute the tasks of a project to team members.
"
836,836_2,However they also do not understand exactly the technology and difficulty needed to design what they want.
348,348_0,"""For my mentees, I strove to be a leader and an example of a student who has been in their shoes and succeeded."
1333,1333_0,"With the problems that were tasked onto me at our Greer 2 facility I was able to clearly explain my designs and lead everyone to get the design built in a timely fashion.
"
1059,1059_1,We had to meet with athletic leaders to figure out exactly what we would be allowed to do and when.
515,515_0,"""I helped organize the other interns to work on parts of the marketplace store, whether it was something like taking images for content or working on advertising efforts.""
"
892,892_1,"I was encouraged them to talk about what they could do together to solve some of the problems we gave them.""
"
203,203_2,Even got praise from the Teachers .
1274,1274_0,"When our bosses came back from their conference they immediately outlined what they wanted to change and worked with each of strengths to assign tasks to the people best suited for that tasks.
"
726,726_0,In our weekly group meetings with [name]'s grad students each week s.o. would present his current research.
1037,1037_0,"""Steven always made sure to assign us tasks he thought we had the necessary skills to complete."
47,47_0,"""Although I usually complete intern tasks, and don't take a great leadership role in the office, I set a standard for myself to partner with and support the office as a servant leader by completing tasks to the best of my ability.""
"
805,805_5,"By assigning individual action items for each team member and creating a check-off sheet for all of them to achieve those tasks let to a more productive work environment and a successful attempt to exceed our study abroad numbers from last spring.""
"
11,11_5,"It was a great example of how much better events can be when people contributed their strengths to achieve an overall goal.""
"
21,21_1,"In the recent months, training new people was becoming difficult because many of our trainers would take different paths which confused the trainee."
408,408_2,"This enabled me to empower others to achieve my vision by developing and implementing the project.""
"
18,18_1,"It took multiple people working together to set up for 200+ people events.
"
313,313_0,Each week we have an event team meeting where everyone in our department who works directly with clients or events comes together and we talk about ways to make our events work fully as the client expects it to and how to make it work in the most efficient way for our staff.
1084,1084_3,It was as if his team was just meeting for the first time and things were initially chaotic.
627,627_1,So I was given the responsibility and leadership to complete them on my own.
1156,1156_2,"This broad organizational objective was necessary in creating consistent, accurate Campus Recreation branding.""
"
736,736_2,She gave them the directions and assisted them when necessary.
441,441_0,I engaged anthropology club members to become involved in the new Business Anthropology course through a brief presentation and the distribution of fliers.
906,906_2,"Without their help, it would have been a very overwhelming day, so I made sure to tell them how much I appreciated having them there.""
"
671,671_0,"""I worked with a Career Ambassador to share information on recorded interviews to students."
1107,1107_0,"""There was one time where each of us interns were discussing what our current projects were, and what we were doing to achieve them."
617,617_0,I was a part of a Formula student team-Praheti Racing which made its maiden expedition to a Formula student competition in Italy.
662,662_0,"I watched my other employees in the graphic design area consult one another to get feedback on the work they had been doing to get another perspective and adjust accordingly based on that feedback.
"
754,754_1,"They took all of our options into account to create a final opinion.
"
600,600_0,"""I think my time as EU's project lead was an effective one."
65,65_0,"""As a UPIC, I am a leader within the CI lab."
521,521_0,"I helped the student org complete several events they wanted to do.
"
858,858_3,"After we had a full operations staff meeting one night, the three of us sat down with our new supervisor and discussed the issue of several very skilled staff members feeling they were being underpaid for the work they do, and were considering seeking employment elsewhere."
456,456_0,"""I had good communication with the supervisor that I had to report to."
427,427_0,"""I don't have a specific situation-answer to this question, but my general policy when running events is to have everyone involved around to come up with ideas when we're trying to figure out how to set up an event."
895,895_0,Often I was given projects that required collaboration and discussion before I decided upon the final product.
1183,1183_2,"Also, every one of them had a different perspective on the dashboards."
1092,1092_3,"I worked closely with [mentor], my mentor, to make these sessions happen and discussed my accomplishments with these students with her weekly.""
"
668,668_1,We use IMleagues.com for class registration.
294,294_0,"""During the team meetings, I saw the staff bounce of the strengths of each other constantly."
1306,1306_1,"This works as a brainstorm in which all ideas are encouraged and discussed.""
"
206,206_1,"Because of my efforts, undergraduate students had the opportunity to present their research at a professional symposium to well-known scientists, and they also had the opportunity to volunteer at the symposium and attend the talks."
429,429_0,"I empower my desk associates to get as much work done as possible every day.
"
31,31_0,"""After several meetings, I persuaded my mentor to accept my idea and finally we ran a study which is designed by me.""
"
257,257_2,"We were able to meet a few times to talk over our respective parts and collectively tailor the information to our desired audience and take into account feedback from our peers.""
"
875,875_2,"and I was given the task of sanitizing the equipment.
"
538,538_1,"I contacted students interested in doing exchange, clemson engineering students who had done exchange and students from other univerisites on exchange at clemson all for an infosession."
824,824_1,I have become more confident with corrective action.
453,453_1,"As Chief of Staff, I was tasked with leading the team safely through the semester and help them help others."
763,763_1,"Many of the people in attendance were donors to the PEER/WISE Department and I was able to share the positive impact the department has had on me during my time at Clemson and how much I enjoy being able to impact others in a similar manner.""
"
1138,1138_0,"""This semester we launched our """"It's Not Too Late"""" initiative and I spear-headed the campaign by bringing the vision to our group and getting input on how to best achieve it."
744,744_2,"I would take that opportunity to remind them of the importance of our work, and it helped us be successful in reaching our goals."
366,366_0,"""Got to show students how to use machinery and work with different kinds of tools."
1100,1100_2,"Everyone had different opinions of how it happened and how to contact the authorities to fix it, but the bottom line showed that the damage had been done and needed to be repaired."
509,509_0,"I helped encourage teams to bring in canned goods for our canned food drive.
"
1169,1169_5,This helped free them up so that they could aid our customers and we could continue to have impeccable customer service.
67,67_5,"I would often suggest ideas that would be a compromise for both of their ideas.
"
659,659_0,"I was the oldest SEC so I helped and trained the others.
"
1135,1135_1,That brought its benefits and challenges.
1110,1110_0,"""There were many different tasks in the office that required a fool proof procedure."
55,55_5,"In the end, this internship is all about learning in order to be successful in our careers."
666,666_0,"I work to lead creative inquiry groups and other interested on campus organizations in serving as an extension of the Clemson agricultural extension program and working to connect the community and Clemson students to local food systems.
"
564,564_0,"""I often planned how we would organize an event an offer that idea."
1160,1160_0,"""Throughout the semester, all of the interns and mentors would meet as a group."
1050,1050_1,The shared vision was to promote studying abroad this summer by passing out snack with slogans to the student body.
1122,1122_1,"As a photographer, especially on campus, you have to work as a team to capture the right photograph."
670,670_0,"I worked alongside other graphic designers to complete major projects and we were able to successfully create a final product that please everyone.
"
46,46_1,"Fashioned in the style of MLH.io, CUhackit will be open to all students and will encourage team-oriented problem solving over the course of the 23-hour event."
686,686_2,I was able to lead my fellow interns in how to interact with the students and led the students to realize their potential with their writing and reading.
377,377_9,"He feeds virtually no hay to his cows, unlike many of the other producers."
654,654_1,I initiated the groups' discussion by preparing some topics to discuss and cover in the meeting that I thought all of us would be interested in gaining more knowledge in and a topic that was common between us all through the material that we were working on in our office/department.
826,826_3,"She eventually led them to a consensus and selected the intern to hire for next semester.
"
665,665_1,"However I see independent working as another form of leadership.
"
603,603_0,"""I think that I am a good leader, but there were definitely others in my internship that knew more about the field than me."
392,392_1,"As one of the heads, we decided to come up with a list of events that we would want to do."
1082,1082_0,The plant manger at my plant leads a team of supervisor from all departments.
1263,1263_2,"With the help of my supervisor and fellow interns we began the process of doing this for multiple clients and accounts, since it was so well received by the followers of the original account.""
"
1066,1066_0,"""The first thing I did when I was tasked with finding a way to monitor power in the Watt center is ask my fellow interns how they would go about solving this problem."
485,485_0,"""I have had to lead a lot the semester, especially with National Hunting and Fishing day."
920,920_1,"He used this opportunity to help develop her strength and enable her to practice and become more knowledgeable in calling tree height and using the proper tools to improve that ability.""
"
950,950_1,"I always took into account that her views were very different from mine, and rather than view that as a weakness or attempt to change her opinions, I'd try to get her unique opinion to help move the design process forward."
283,283_6,"He also tried to come up with suggestions or plans to help employees to become more successful in their career.""
"
1120,1120_8,"Finally, after many ideas had been tossed around, we found a solution that worked and made it to bed before 3:00.""
"
1006,1006_3,"The discussions we had over our work very frequently led us to positive results, which was especially crucial when we were working towards the same goal on a joint project.""
"
267,267_2,"I was able to show that with perseverance, determination, and ambition would can reach your goals and pursue the career of your dreams."
335,335_3,"One of our ideas was to incorporate small bags for several small 3d printed parts so that they don't get lost and/or missing.""
"
1225,1225_0,"We were all self managed projects which required a level of self leadership and responsibility.
"
93,93_0,"""As mentors, we have weekly group meetings with all of the other mentors and [mentor]."
6,6_2,"I was able to show that with perseverance, determination, and ambition would can reach your goals and pursue the career of your dreams."
715,715_2,"I also interact with users and lead group interactions with VR technology in the space on a regular basis.""
"
73,73_5,"They talked about where they got and how they got there and what it takes to do what they do and to become a leader.""
"
